Date,Temperature,Humidity,Pressure,Wind_Speed,Precipitation,Air_Quality_Index,UV_Index,City
2024-01-01,42.5,65,30.12,8.2,0.0,85,3,Seattle
2024-01-02,45.1,72,29.98,12.5,0.15,92,2,Seattle
2024-01-03,38.9,58,30.25,6.1,0.0,78,4,Seattle
2024-01-04,41.2,68,30.08,9.8,0.22,89,3,Seattle
2024-01-05,44.7,75,29.85,15.2,0.45,95,2,Seattle
2024-01-06,48.3,62,30.18,7.4,0.0,82,5,Seattle
2024-01-07,46.8,69,30.02,11.3,0.18,88,3,Seattle
2024-01-08,39.6,71,30.28,8.9,0.35,91,2,Seattle
2024-01-09,43.4,64,30.15,6.7,0.0,79,4,Seattle
2024-01-10,47.2,78,29.92,13.6,0.28,94,3,Seattle
2024-01-01,72.8,45,29.95,5.3,0.0,65,8,Phoenix
2024-01-02,75.4,42,30.02,7.1,0.0,58,9,Phoenix
2024-01-03,68.9,38,30.18,4.8,0.0,52,7,Phoenix
2024-01-04,71.6,41,30.05,6.2,0.0,61,8,Phoenix
2024-01-05,74.2,44,29.88,8.5,0.0,68,9,Phoenix
2024-01-06,78.1,39,30.12,5.9,0.0,55,10,Phoenix
2024-01-07,76.5,43,30.08,7.3,0.0,62,9,Phoenix
2024-01-08,69.3,47,30.22,4.6,0.0,59,7,Phoenix
2024-01-09,73.7,40,30.15,6.8,0.0,64,8,Phoenix
2024-01-10,77.9,36,29.98,8.1,0.0,57,10,Phoenix
2024-01-01,28.4,82,30.35,18.5,2.15,105,1,Chicago
2024-01-02,31.7,75,30.18,22.3,1.85,98,2,Chicago
2024-01-03,25.9,88,30.42,15.2,3.45,112,1,Chicago
2024-01-04,29.6,79,30.25,19.8,2.75,108,1,Chicago
2024-01-05,33.2,72,30.08,25.1,1.25,95,2,Chicago
2024-01-06,36.8,68,30.15,16.7,0.85,89,3,Chicago
2024-01-07,34.5,74,30.32,21.4,1.65,102,2,Chicago
2024-01-08,27.1,85,30.45,17.9,3.25,115,1,Chicago
2024-01-09,31.3,77,30.22,20.6,2.05,99,2,Chicago
2024-01-10,35.7,71,30.12,18.3,1.45,92,2,Chicago
